logged_at,reason,name,title,url,query
2026-04-24T22:49:46.065387Z,non_org_title,List of Accredited Civil Society Organizations (CSOs) - Philippine,List of Accredited Civil Society Organizations (CSOs) - Philippine,,"""List of Accredited Civil Society Organizations (CSOs) - Philippine "" ""Philippines"" organization"
2026-04-24T22:49:46.615090Z,non_org_title,"List of Ngos, Charities and non-profits in Phillipines","List of Ngos, Charities and non-profits in Phillipines",,"""List of Ngos, Charities and non-profits in Phillipines"" ""Philippines"" organization"
2026-04-24T22:49:47.165744Z,missing_url,PH/phillipines-ngos,PH/phillipines-ngos,,"""PH/phillipines-ngos"" ""Philippines"" organization"
2026-04-24T22:49:47.714463Z,missing_url,Top Non-Profit Organizations in the Philippines,Top Non-Profit Organizations in the Philippines,,"""Top Non-Profit Organizations in the Philippines"" ""Philippines"" organization"
2026-04-24T22:49:48.251984Z,missing_url,Explore top non,Explore top non,,"""Explore top non"" ""Philippines"" organization"
2026-04-24T22:49:48.798058Z,missing_url,Accredited NGOs - PCNC,Accredited NGOs - PCNC,,"""Accredited NGOs - PCNC"" ""Philippines"" organization"
2026-04-24T22:49:49.348605Z,missing_url,Accredited Civil Society Organizations | PDF | Metro Manila - Scribd,Accredited Civil Society Organizations | PDF | Metro Manila - Scribd,,"""Accredited Civil Society Organizations | PDF | Metro Manila - Scribd"" ""Philippines"" organization"
2026-04-24T22:49:49.905988Z,missing_url,National-List-of-Accredited-Civil-Society-Organizations,National-List-of-Accredited-Civil-Society-Organizations,,"""National-List-of-Accredited-Civil-Society-Organizations"" ""Philippines"" organization"
2026-04-24T22:49:50.459468Z,missing_url,PDF Civil Society Organizations in the Philippines,PDF Civil Society Organizations in the Philippines,,"""PDF Civil Society Organizations in the Philippines"" ""Philippines"" organization"
2026-04-24T22:49:51.023218Z,missing_url,Civil society organizations refer to the whole range of non,Civil society organizations refer to the whole range of non,,"""Civil society organizations refer to the whole range of non"" ""Philippines"" organization"
2026-04-24T22:49:51.592288Z,missing_url,ACCREDITED CIVIL SOCIETY ORGANIZATIONS (CSOs) | DILG IX - ZAMPEN,ACCREDITED CIVIL SOCIETY ORGANIZATIONS (CSOs) | DILG IX - ZAMPEN,,"""ACCREDITED CIVIL SOCIETY ORGANIZATIONS (CSOs) | DILG IX - ZAMPEN"" ""Philippines"" organization"
2026-04-24T22:49:52.166861Z,non_org_title,LIST OF ACCREDITED CIVIL SOCIETY ORGANIZATIONS,LIST OF ACCREDITED CIVIL SOCIETY ORGANIZATIONS,,"""LIST OF ACCREDITED CIVIL SOCIETY ORGANIZATIONS"" ""Philippines"" organization"
2026-04-24T22:49:52.749208Z,missing_url,A Landscape of Civil Society Organizations in the Philippines,A Landscape of Civil Society Organizations in the Philippines,,"""A Landscape of Civil Society Organizations in the Philippines"" ""Philippines"" organization"
2026-04-24T22:49:53.331474Z,non_org_title,Top 10 NGOs In The Philippi,Top 10 NGOs In The Philippi,,"""Top 10 NGOs In The Philippi"" ""Philippines"" organization"
